"X","Region","Risk","Outcome","PAF","Country","Risk.reduction.policy","Mortality.reduction.policy","Risk.reduction.tax","Mortality.reduction.tax","NCD.cause.grouping","NCD4","self_harm"
4612,"High-middle SDI","Alcohol","Idiopathic epilepsy",0.263,"Kuwait",0.269,0.070747,0.1225,0.0322175,"All other noncommunicable diseases","no","no"
4613,"High-middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.61,"Kuwait",0.269,0.16409,0.1225,0.074725,NA,"no","no"
4614,"High-middle SDI","Alcohol","Fire, heat, and hot substances",0.106,"Kuwait",0.269,0.028514,0.1225,0.012985,"All other noncommunicable diseases","no","no"
4615,"High-middle SDI","Alcohol","Intracerebral hemorrhage",0.245,"Kuwait",0.269,0.065905,0.1225,0.0300125,"Haemorrhagic stroke","yes","no"
4616,"High-middle SDI","Alcohol","Hypertensive heart disease",0.179,"Kuwait",0.269,0.048151,0.1225,0.0219275,"All other cardiovascular diseases","yes","no"
4617,"High-middle SDI","Alcohol","Larynx cancer",0.393,"Kuwait",0.269,0.105717,0.1225,0.0481425,"Upper aerodigestive tract cancers","yes","no"
4618,"High-middle SDI","Alcohol","Lip and oral cavity cancer",0.597,"Kuwait",0.269,0.160593,0.1225,0.0731325,"Upper aerodigestive tract cancers","yes","no"
4619,"High-middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Kuwait",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
4620,"High-middle SDI","Alcohol","Lower respiratory infections",0.116,"Kuwait",0.269,0.031204,0.1225,0.01421,NA,"no","no"
4621,"High-middle SDI","Alcohol","Motor vehicle road injuries",0.158,"Kuwait",0.269,0.042502,0.1225,0.019355,"All other noncommunicable diseases","no","no"
4622,"High-middle SDI","Alcohol","Motorcyclist road injuries",0.191,"Kuwait",0.269,0.051379,0.1225,0.0233975,"All other noncommunicable diseases","no","no"
4623,"High-middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.569,"Kuwait",0.269,0.153061,0.1225,0.0697025,NA,"no","no"
4624,"High-middle SDI","Alcohol","Nasopharynx cancer",0.554,"Kuwait",0.269,0.149026,0.1225,0.067865,"Upper aerodigestive tract cancers","yes","no"
4625,"High-middle SDI","Alcohol","Esophageal cancer",0.39,"Kuwait",0.269,0.10491,0.1225,0.047775,"Upper aerodigestive tract cancers","yes","no"
4626,"High-middle SDI","Alcohol","Other pharynx cancer",0.652,"Kuwait",0.269,0.175388,0.1225,0.07987,"Upper aerodigestive tract cancers","yes","no"
4627,"High-middle SDI","Alcohol","Other road injuries",0.186,"Kuwait",0.269,0.050034,0.1225,0.022785,"All other noncommunicable diseases","no","no"
4628,"High-middle SDI","Alcohol","Other transport injuries",0.213,"Kuwait",0.269,0.057297,0.1225,0.0260925,"All other noncommunicable diseases","no","no"
4629,"High-middle SDI","Alcohol","Other unintentional injuries",0.116,"Kuwait",0.269,0.031204,0.1225,0.01421,"All other noncommunicable diseases","no","no"
4630,"High-middle SDI","Alcohol","Pancreatitis",0.517,"Kuwait",0.269,0.139073,0.1225,0.0633325,"All other noncommunicable diseases","no","no"
4631,"High-middle SDI","Alcohol","Pedestrian road injuries",0.173,"Kuwait",0.269,0.046537,0.1225,0.0211925,"All other noncommunicable diseases","no","no"
4632,"High-middle SDI","Alcohol","Poisonings",0.102,"Kuwait",0.269,0.027438,0.1225,0.012495,"All other noncommunicable diseases","no","no"
4633,"High-middle SDI","Alcohol","Self-harm by firearm",0.316,"Kuwait",0.269,0.085004,0.1225,0.03871,"All other noncommunicable diseases","no","yes"
4634,"High-middle SDI","Alcohol","Self-harm by other specified means",0.336,"Kuwait",0.269,0.090384,0.1225,0.04116,"All other noncommunicable diseases","no","yes"
4635,"High-middle SDI","Smoking","Acute myeloid leukaemia",0.105,"Kuwait",0.116425,0.012224625,0.9648,0.101304,"All other cancers","yes","no"
4636,"High-middle SDI","Smoking","All causes",0.148,"Kuwait",0.116425,0.0172309,0.9648,0.1427904,NA,"no","no"
4637,"High-middle SDI","Smoking","Aortic aneurysm",0.178,"Kuwait",0.116425,0.02072365,0.9648,0.1717344,"All other cardiovascular diseases","yes","no"
4638,"High-middle SDI","Smoking","Asthma",0.141,"Kuwait",0.116425,0.016415925,0.9648,0.1360368,"Chronic respiratory diseases","yes","no"
4639,"High-middle SDI","Smoking","Bladder cancer",0.302,"Kuwait",0.116425,0.03516035,0.9648,0.2913696,"All other cancers","yes","no"
4640,"High-middle SDI","Smoking","Chronic lymphoid leukaemia",0.133,"Kuwait",0.116425,0.015484525,0.9648,0.1283184,"All other cancers","yes","no"
4641,"High-middle SDI","Smoking","Chronic myeloid leukaemia",0.114,"Kuwait",0.116425,0.01327245,0.9648,0.1099872,"All other cancers","yes","no"
4642,"High-middle SDI","Smoking","Chronic obstructive pulmonary disease",0.555,"Kuwait",0.116425,0.064615875,0.9648,0.535464,"Chronic respiratory diseases","yes","no"
4643,"High-middle SDI","Smoking","Drug-susceptible tuberculosis",0.144,"Kuwait",0.116425,0.0167652,0.9648,0.1389312,NA,"no","no"
4644,"High-middle SDI","Smoking","Extensively drug-resistant tuberculosis",0.184,"Kuwait",0.116425,0.0214222,0.9648,0.1775232,NA,"no","no"
4645,"High-middle SDI","Smoking","Intracerebral hemorrhage",0.209,"Kuwait",0.116425,0.024332825,0.9648,0.2016432,"Haemorrhagic stroke","yes","no"
4646,"High-middle SDI","Smoking","Hypertensive heart disease",0.115,"Kuwait",0.116425,0.013388875,0.9648,0.110952,"All other cardiovascular diseases","yes","no"
4647,"High-middle SDI","Smoking","Ischemic heart disease",0.153,"Kuwait",0.116425,0.017813025,0.9648,0.1476144,"Ischaemic heart disease","yes","no"
4648,"High-middle SDI","Smoking","Ischemic stroke",0.13,"Kuwait",0.116425,0.01513525,0.9648,0.125424,"Ischaemic stroke","yes","no"
4649,"High-middle SDI","Smoking","Kidney cancer",0.19,"Kuwait",0.116425,0.02212075,0.9648,0.183312,"All other cancers","yes","no"
4650,"High-middle SDI","Smoking","Larynx cancer",0.756,"Kuwait",0.116425,0.0880173,0.9648,0.7293888,"Upper aerodigestive tract cancers","yes","no"
4651,"High-middle SDI","Smoking","Lip and oral cavity cancer",0.533,"Kuwait",0.116425,0.062054525,0.9648,0.5142384,"Upper aerodigestive tract cancers","yes","no"
4652,"High-middle SDI","Smoking","Liver cancer due to alcohol use",0.136,"Kuwait",0.116425,0.0158338,0.9648,0.1312128,"Liver cancer","yes","no"
4653,"High-middle SDI","Smoking","Liver cancer due to hepatitis B",0.127,"Kuwait",0.116425,0.014785975,0.9648,0.1225296,"Liver cancer","yes","no"
4654,"High-middle SDI","Smoking","Liver cancer due to hepatitis C",0.162,"Kuwait",0.116425,0.01886085,0.9648,0.1562976,"Liver cancer","yes","no"
4655,"High-middle SDI","Smoking","Liver cancer due to other causes",0.142,"Kuwait",0.116425,0.01653235,0.9648,0.1370016,"Liver cancer","yes","no"
4656,"High-middle SDI","Smoking","Lower respiratory infections",0.244,"Kuwait",0.116425,0.0284077,0.9648,0.2354112,NA,"no","no"
4657,"High-middle SDI","Smoking","Multidrug-resistant tuberculosis without extensive drug resistanc",0.174,"Kuwait",0.116425,0.02025795,0.9648,0.1678752,NA,"no","no"
4658,"High-middle SDI","Smoking","Multiple sclerosis",0.117,"Kuwait",0.116425,0.013621725,0.9648,0.1128816,"All other noncommunicable diseases","no","no"
4659,"High-middle SDI","Smoking","Nasopharynx cancer",0.345,"Kuwait",0.116425,0.040166625,0.9648,0.332856,"Upper aerodigestive tract cancers","yes","no"
4660,"High-middle SDI","Smoking","Esophageal cancer",0.393,"Kuwait",0.116425,0.045755025,0.9648,0.3791664,"Upper aerodigestive tract cancers","yes","no"
4661,"High-middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.134,"Kuwait",0.116425,0.01560095,0.9648,0.1292832,"All other cardiovascular diseases","yes","no"
4662,"High-middle SDI","Smoking","Other chronic respiratory diseases",0.151,"Kuwait",0.116425,0.017580175,0.9648,0.1456848,"Chronic respiratory diseases","yes","no"
4663,"High-middle SDI","Smoking","Pancreatic cancer",0.182,"Kuwait",0.116425,0.02118935,0.9648,0.1755936,"All other cancers","yes","no"
4664,"High-middle SDI","Smoking","Peptic ulcer disease",0.186,"Kuwait",0.116425,0.02165505,0.9648,0.1794528,"All other noncommunicable diseases","no","no"
4665,"High-middle SDI","Smoking","Peripheral artery disease",0.113,"Kuwait",0.116425,0.013156025,0.9648,0.1090224,"All other cardiovascular diseases","no","no"
4666,"High-middle SDI","Smoking","Prostate cancer",0.053,"Kuwait",0.116425,0.006170525,0.9648,0.0511344,"Prostate cancer","yes","no"
4667,"High-middle SDI","Smoking","Stomach cancer",0.122,"Kuwait",0.116425,0.01420385,0.9648,0.1177056,"Stomach cancer","yes","no"
4668,"High-middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.719,"Kuwait",0.116425,0.083709575,0.9648,0.6936912,"Lung cancer","yes","no"
4669,"Low-middle SDI","Alcohol","Alcohol use disorders",1,"Kyrgyzstan",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4670,"Low-middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Kyrgyzstan",0.269,0.269,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
4671,"Low-middle SDI","Alcohol","Assault by firearm",0.103,"Kyrgyzstan",0.269,0.027707,0.1225,0.0126175,NA,"no","no"
4672,"Low-middle SDI","Alcohol","Assault by sharp object",0.111,"Kyrgyzstan",0.269,0.029859,0.1225,0.0135975,NA,"no","no"
4673,"Low-middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Kyrgyzstan",0.269,0.269,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4674,"Low-middle SDI","Alcohol","Drug-susceptible tuberculosis",0.199,"Kyrgyzstan",0.269,0.053531,0.1225,0.0243775,NA,"no","no"
4675,"Low-middle SDI","Alcohol","Idiopathic epilepsy",0.112,"Kyrgyzstan",0.269,0.030128,0.1225,0.01372,"All other noncommunicable diseases","no","no"
4676,"Low-middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.236,"Kyrgyzstan",0.269,0.063484,0.1225,0.02891,NA,"no","no"
4677,"Low-middle SDI","Alcohol","Intracerebral hemorrhage",0.112,"Kyrgyzstan",0.269,0.030128,0.1225,0.01372,"Haemorrhagic stroke","yes","no"
4678,"Low-middle SDI","Alcohol","Larynx cancer",0.151,"Kyrgyzstan",0.269,0.040619,0.1225,0.0184975,"Upper aerodigestive tract cancers","yes","no"
4679,"Low-middle SDI","Alcohol","Lip and oral cavity cancer",0.238,"Kyrgyzstan",0.269,0.064022,0.1225,0.029155,"Upper aerodigestive tract cancers","yes","no"
4680,"Low-middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Kyrgyzstan",0.269,0.269,0.1225,0.1225,"Liver cancer","yes","no"
4681,"Low-middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.201,"Kyrgyzstan",0.269,0.054069,0.1225,0.0246225,NA,"no","no"
4682,"Low-middle SDI","Alcohol","Nasopharynx cancer",0.321,"Kyrgyzstan",0.269,0.086349,0.1225,0.0393225,"Upper aerodigestive tract cancers","yes","no"
4683,"Low-middle SDI","Alcohol","Esophageal cancer",0.184,"Kyrgyzstan",0.269,0.049496,0.1225,0.02254,"Upper aerodigestive tract cancers","yes","no"
4684,"Low-middle SDI","Alcohol","Other pharynx cancer",0.304,"Kyrgyzstan",0.269,0.081776,0.1225,0.03724,"Upper aerodigestive tract cancers","yes","no"
4685,"Low-middle SDI","Alcohol","Pancreatitis",0.213,"Kyrgyzstan",0.269,0.057297,0.1225,0.0260925,"All other noncommunicable diseases","no","no"
4686,"Low-middle SDI","Alcohol","Self-harm by firearm",0.106,"Kyrgyzstan",0.269,0.028514,0.1225,0.012985,"All other noncommunicable diseases","no","yes"
4687,"Low-middle SDI","Smoking","Aortic aneurysm",0.175,"Kyrgyzstan",0.1340965,0.023466888,0.691392,0.1209936,"All other cardiovascular diseases","yes","no"
4688,"Low-middle SDI","Smoking","Asthma",0.146,"Kyrgyzstan",0.1340965,0.019578089,0.691392,0.100943232,"Chronic respiratory diseases","yes","no"
4689,"Low-middle SDI","Smoking","Bladder cancer",0.18,"Kyrgyzstan",0.1340965,0.02413737,0.691392,0.12445056,"All other cancers","yes","no"
4690,"Low-middle SDI","Smoking","Chronic obstructive pulmonary disease",0.279,"Kyrgyzstan",0.1340965,0.037412924,0.691392,0.192898368,"Chronic respiratory diseases","yes","no"
4691,"Low-middle SDI","Smoking","Extensively drug-resistant tuberculosis",0.101,"Kyrgyzstan",0.1340965,0.013543747,0.691392,0.069830592,NA,"no","no"
4692,"Low-middle SDI","Smoking","Intracerebral hemorrhage",0.215,"Kyrgyzstan",0.1340965,0.028830748,0.691392,0.14864928,"Haemorrhagic stroke","yes","no"
4693,"Low-middle SDI","Smoking","Hypertensive heart disease",0.134,"Kyrgyzstan",0.1340965,0.017968931,0.691392,0.092646528,"All other cardiovascular diseases","yes","no"
4694,"Low-middle SDI","Smoking","Ischemic heart disease",0.173,"Kyrgyzstan",0.1340965,0.023198695,0.691392,0.119610816,"Ischaemic heart disease","yes","no"
4695,"Low-middle SDI","Smoking","Ischemic stroke",0.156,"Kyrgyzstan",0.1340965,0.020919054,0.691392,0.107857152,"Ischaemic stroke","yes","no"
4696,"Low-middle SDI","Smoking","Larynx cancer",0.5,"Kyrgyzstan",0.1340965,0.06704825,0.691392,0.345696,"Upper aerodigestive tract cancers","yes","no"
4697,"Low-middle SDI","Smoking","Lip and oral cavity cancer",0.295,"Kyrgyzstan",0.1340965,0.039558468,0.691392,0.20396064,"Upper aerodigestive tract cancers","yes","no"
4698,"Low-middle SDI","Smoking","Liver cancer due to alcohol use",0.158,"Kyrgyzstan",0.1340965,0.021187247,0.691392,0.109239936,"Liver cancer","yes","no"
4699,"Low-middle SDI","Smoking","Liver cancer due to hepatitis B",0.168,"Kyrgyzstan",0.1340965,0.022528212,0.691392,0.116153856,"Liver cancer","yes","no"
4700,"Low-middle SDI","Smoking","Liver cancer due to hepatitis C",0.134,"Kyrgyzstan",0.1340965,0.017968931,0.691392,0.092646528,"Liver cancer","yes","no"
4701,"Low-middle SDI","Smoking","Liver cancer due to other causes",0.171,"Kyrgyzstan",0.1340965,0.022930502,0.691392,0.118228032,"Liver cancer","yes","no"
4702,"Low-middle SDI","Smoking","Lower respiratory infections",0.119,"Kyrgyzstan",0.1340965,0.015957484,0.691392,0.082275648,NA,"no","no"
4703,"Low-middle SDI","Smoking","Nasopharynx cancer",0.372,"Kyrgyzstan",0.1340965,0.049883898,0.691392,0.257197824,"Upper aerodigestive tract cancers","yes","no"
4704,"Low-middle SDI","Smoking","Esophageal cancer",0.292,"Kyrgyzstan",0.1340965,0.039156178,0.691392,0.201886464,"Upper aerodigestive tract cancers","yes","no"
4705,"Low-middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.122,"Kyrgyzstan",0.1340965,0.016359773,0.691392,0.084349824,"All other cardiovascular diseases","yes","no"
4706,"Low-middle SDI","Smoking","Pancreatic cancer",0.117,"Kyrgyzstan",0.1340965,0.015689291,0.691392,0.080892864,"All other cancers","yes","no"
4707,"Low-middle SDI","Smoking","Peptic ulcer disease",0.15,"Kyrgyzstan",0.1340965,0.020114475,0.691392,0.1037088,"All other noncommunicable diseases","no","no"
4708,"Low-middle SDI","Smoking","Peripheral artery disease",0.118,"Kyrgyzstan",0.1340965,0.015823387,0.691392,0.081584256,"All other cardiovascular diseases","no","no"
4709,"Low-middle SDI","Smoking","Prostate cancer",0.021,"Kyrgyzstan",0.1340965,0.002816027,0.691392,0.014519232,"Prostate cancer","yes","no"
4710,"Low-middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.811,"Kyrgyzstan",0.1340965,0.108752262,0.691392,0.560718912,"Lung cancer","yes","no"
4711,"Low-middle SDI","Alcohol","Alcohol use disorders",1,"Laos",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4712,"Low-middle SDI","Alcohol","Alcoholic cardiomyopathy",1,"Laos",0,0,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
4713,"Low-middle SDI","Alcohol","Assault by firearm",0.103,"Laos",0,0,0.1225,0.0126175,NA,"no","no"
4714,"Low-middle SDI","Alcohol","Assault by sharp object",0.111,"Laos",0,0,0.1225,0.0135975,NA,"no","no"
4715,"Low-middle SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Laos",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4716,"Low-middle SDI","Alcohol","Drug-susceptible tuberculosis",0.199,"Laos",0,0,0.1225,0.0243775,NA,"no","no"
4717,"Low-middle SDI","Alcohol","Idiopathic epilepsy",0.112,"Laos",0,0,0.1225,0.01372,"All other noncommunicable diseases","no","no"
4718,"Low-middle SDI","Alcohol","Extensively drug-resistant tuberculosis",0.236,"Laos",0,0,0.1225,0.02891,NA,"no","no"
4719,"Low-middle SDI","Alcohol","Intracerebral hemorrhage",0.112,"Laos",0,0,0.1225,0.01372,"Haemorrhagic stroke","yes","no"
4720,"Low-middle SDI","Alcohol","Larynx cancer",0.151,"Laos",0,0,0.1225,0.0184975,"Upper aerodigestive tract cancers","yes","no"
4721,"Low-middle SDI","Alcohol","Lip and oral cavity cancer",0.238,"Laos",0,0,0.1225,0.029155,"Upper aerodigestive tract cancers","yes","no"
4722,"Low-middle SDI","Alcohol","Liver cancer due to alcohol use",1,"Laos",0,0,0.1225,0.1225,"Liver cancer","yes","no"
4723,"Low-middle SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.201,"Laos",0,0,0.1225,0.0246225,NA,"no","no"
4724,"Low-middle SDI","Alcohol","Nasopharynx cancer",0.321,"Laos",0,0,0.1225,0.0393225,"Upper aerodigestive tract cancers","yes","no"
4725,"Low-middle SDI","Alcohol","Esophageal cancer",0.184,"Laos",0,0,0.1225,0.02254,"Upper aerodigestive tract cancers","yes","no"
4726,"Low-middle SDI","Alcohol","Other pharynx cancer",0.304,"Laos",0,0,0.1225,0.03724,"Upper aerodigestive tract cancers","yes","no"
4727,"Low-middle SDI","Alcohol","Pancreatitis",0.213,"Laos",0,0,0.1225,0.0260925,"All other noncommunicable diseases","no","no"
4728,"Low-middle SDI","Alcohol","Self-harm by firearm",0.106,"Laos",0,0,0.1225,0.012985,"All other noncommunicable diseases","no","yes"
4729,"Low-middle SDI","Smoking","Aortic aneurysm",0.175,"Laos",0.0837,0.0146475,1,0.175,"All other cardiovascular diseases","yes","no"
4730,"Low-middle SDI","Smoking","Asthma",0.146,"Laos",0.0837,0.0122202,1,0.146,"Chronic respiratory diseases","yes","no"
4731,"Low-middle SDI","Smoking","Bladder cancer",0.18,"Laos",0.0837,0.015066,1,0.18,"All other cancers","yes","no"
4732,"Low-middle SDI","Smoking","Chronic obstructive pulmonary disease",0.279,"Laos",0.0837,0.0233523,1,0.279,"Chronic respiratory diseases","yes","no"
4733,"Low-middle SDI","Smoking","Extensively drug-resistant tuberculosis",0.101,"Laos",0.0837,0.0084537,1,0.101,NA,"no","no"
4734,"Low-middle SDI","Smoking","Intracerebral hemorrhage",0.215,"Laos",0.0837,0.0179955,1,0.215,"Haemorrhagic stroke","yes","no"
4735,"Low-middle SDI","Smoking","Hypertensive heart disease",0.134,"Laos",0.0837,0.0112158,1,0.134,"All other cardiovascular diseases","yes","no"
4736,"Low-middle SDI","Smoking","Ischemic heart disease",0.173,"Laos",0.0837,0.0144801,1,0.173,"Ischaemic heart disease","yes","no"
4737,"Low-middle SDI","Smoking","Ischemic stroke",0.156,"Laos",0.0837,0.0130572,1,0.156,"Ischaemic stroke","yes","no"
4738,"Low-middle SDI","Smoking","Larynx cancer",0.5,"Laos",0.0837,0.04185,1,0.5,"Upper aerodigestive tract cancers","yes","no"
4739,"Low-middle SDI","Smoking","Lip and oral cavity cancer",0.295,"Laos",0.0837,0.0246915,1,0.295,"Upper aerodigestive tract cancers","yes","no"
4740,"Low-middle SDI","Smoking","Liver cancer due to alcohol use",0.158,"Laos",0.0837,0.0132246,1,0.158,"Liver cancer","yes","no"
4741,"Low-middle SDI","Smoking","Liver cancer due to hepatitis B",0.168,"Laos",0.0837,0.0140616,1,0.168,"Liver cancer","yes","no"
4742,"Low-middle SDI","Smoking","Liver cancer due to hepatitis C",0.134,"Laos",0.0837,0.0112158,1,0.134,"Liver cancer","yes","no"
4743,"Low-middle SDI","Smoking","Liver cancer due to other causes",0.171,"Laos",0.0837,0.0143127,1,0.171,"Liver cancer","yes","no"
4744,"Low-middle SDI","Smoking","Lower respiratory infections",0.119,"Laos",0.0837,0.0099603,1,0.119,NA,"no","no"
4745,"Low-middle SDI","Smoking","Nasopharynx cancer",0.372,"Laos",0.0837,0.0311364,1,0.372,"Upper aerodigestive tract cancers","yes","no"
4746,"Low-middle SDI","Smoking","Esophageal cancer",0.292,"Laos",0.0837,0.0244404,1,0.292,"Upper aerodigestive tract cancers","yes","no"
4747,"Low-middle SDI","Smoking","Other cardiovascular and circulatory diseases",0.122,"Laos",0.0837,0.0102114,1,0.122,"All other cardiovascular diseases","yes","no"
4748,"Low-middle SDI","Smoking","Pancreatic cancer",0.117,"Laos",0.0837,0.0097929,1,0.117,"All other cancers","yes","no"
4749,"Low-middle SDI","Smoking","Peptic ulcer disease",0.15,"Laos",0.0837,0.012555,1,0.15,"All other noncommunicable diseases","no","no"
4750,"Low-middle SDI","Smoking","Peripheral artery disease",0.118,"Laos",0.0837,0.0098766,1,0.118,"All other cardiovascular diseases","no","no"
4751,"Low-middle SDI","Smoking","Prostate cancer",0.021,"Laos",0.0837,0.0017577,1,0.021,"Prostate cancer","yes","no"
4752,"Low-middle SDI","Smoking","Tracheal, bronchus, and lung cancer",0.811,"Laos",0.0837,0.0678807,1,0.811,"Lung cancer","yes","no"
4753,"High SDI","Alcohol","Alcohol use disorders",1,"Latvia",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4754,"High SDI","Alcohol","Alcoholic cardiomyopathy",1,"Latvia",0,0,0.1225,0.1225,"All other cardiovascular diseases","yes","no"
4755,"High SDI","Alcohol","Assault by firearm",0.238,"Latvia",0,0,0.1225,0.029155,NA,"no","no"
4756,"High SDI","Alcohol","Assault by other means",0.184,"Latvia",0,0,0.1225,0.02254,NA,"no","no"
4757,"High SDI","Alcohol","Assault by sharp object",0.222,"Latvia",0,0,0.1225,0.027195,NA,"no","no"
4758,"High SDI","Alcohol","Atrial fibrillation and flutter",0.132,"Latvia",0,0,0.1225,0.01617,"All other cardiovascular diseases","yes","no"
4759,"High SDI","Alcohol","Breast cancer",0.192,"Latvia",0,0,0.1225,0.02352,"Breast cancer","yes","no"
4760,"High SDI","Alcohol","Cirrhosis and other chronic liver diseases due to alcohol use",1,"Latvia",0,0,0.1225,0.1225,"All other noncommunicable diseases","no","no"
4761,"High SDI","Alcohol","Colon and rectum cancer",0.163,"Latvia",0,0,0.1225,0.0199675,"Colon and rectum cancer","yes","no"
4762,"High SDI","Alcohol","Cyclist road injuries",0.202,"Latvia",0,0,0.1225,0.024745,"All other noncommunicable diseases","no","no"
4763,"High SDI","Alcohol","Drowning",0.105,"Latvia",0,0,0.1225,0.0128625,"All other noncommunicable diseases","no","no"
4764,"High SDI","Alcohol","Drug-susceptible tuberculosis",0.342,"Latvia",0,0,0.1225,0.041895,NA,"no","no"
4765,"High SDI","Alcohol","Idiopathic epilepsy",0.355,"Latvia",0,0,0.1225,0.0434875,"All other noncommunicable diseases","no","no"
4766,"High SDI","Alcohol","Extensively drug-resistant tuberculosis",0.414,"Latvia",0,0,0.1225,0.050715,NA,"no","no"
4767,"High SDI","Alcohol","Fire, heat, and hot substances",0.1,"Latvia",0,0,0.1225,0.01225,"All other noncommunicable diseases","no","no"
4768,"High SDI","Alcohol","Intracerebral hemorrhage",0.2,"Latvia",0,0,0.1225,0.0245,"Haemorrhagic stroke","yes","no"
4769,"High SDI","Alcohol","Hypertensive heart disease",0.222,"Latvia",0,0,0.1225,0.027195,"All other cardiovascular diseases","yes","no"
4770,"High SDI","Alcohol","Larynx cancer",0.376,"Latvia",0,0,0.1225,0.04606,"Upper aerodigestive tract cancers","yes","no"
4771,"High SDI","Alcohol","Lip and oral cavity cancer",0.538,"Latvia",0,0,0.1225,0.065905,"Upper aerodigestive tract cancers","yes","no"
4772,"High SDI","Alcohol","Liver cancer due to alcohol use",1,"Latvia",0,0,0.1225,0.1225,"Liver cancer","yes","no"
4773,"High SDI","Alcohol","Motor vehicle road injuries",0.208,"Latvia",0,0,0.1225,0.02548,"All other noncommunicable diseases","no","no"
4774,"High SDI","Alcohol","Motorcyclist road injuries",0.221,"Latvia",0,0,0.1225,0.0270725,"All other noncommunicable diseases","no","no"
4775,"High SDI","Alcohol","Multidrug-resistant tuberculosis without extensive drug resistance",0.391,"Latvia",0,0,0.1225,0.0478975,NA,"no","no"
4776,"High SDI","Alcohol","Nasopharynx cancer",0.563,"Latvia",0,0,0.1225,0.0689675,"Upper aerodigestive tract cancers","yes","no"
4777,"High SDI","Alcohol","Esophageal cancer",0.385,"Latvia",0,0,0.1225,0.0471625,"Upper aerodigestive tract cancers","yes","no"
4778,"High SDI","Alcohol","Other pharynx cancer",0.601,"Latvia",0,0,0.1225,0.0736225,"Upper aerodigestive tract cancers","yes","no"
4779,"High SDI","Alcohol","Other road injuries",0.2,"Latvia",0,0,0.1225,0.0245,"All other noncommunicable diseases","no","no"
4780,"High SDI","Alcohol","Other transport injuries",0.217,"Latvia",0,0,0.1225,0.0265825,"All other noncommunicable diseases","no","no"
4781,"High SDI","Alcohol","Other unintentional injuries",0.132,"Latvia",0,0,0.1225,0.01617,"All other noncommunicable diseases","no","no"
4782,"High SDI","Alcohol","Pancreatitis",0.36,"Latvia",0,0,0.1225,0.0441,"All other noncommunicable diseases","no","no"
4783,"High SDI","Alcohol","Pedestrian road injuries",0.19,"Latvia",0,0,0.1225,0.023275,"All other noncommunicable diseases","no","no"
4784,"High SDI","Alcohol","Poisonings",0.111,"Latvia",0,0,0.1225,0.0135975,"All other noncommunicable diseases","no","no"
4785,"High SDI","Alcohol","Self-harm by firearm",0.29,"Latvia",0,0,0.1225,0.035525,"All other noncommunicable diseases","no","yes"
4786,"High SDI","Alcohol","Self-harm by other specified means",0.263,"Latvia",0,0,0.1225,0.0322175,"All other noncommunicable diseases","no","yes"
4787,"High SDI","Alcohol","Unintentional firearm injuries",0.115,"Latvia",0,0,0.1225,0.0140875,"All other noncommunicable diseases","no","no"
4788,"High SDI","Smoking","Acute lymphoid leukaemia",0.105,"Latvia",0.10399825,0.010919816,0,0,"All other cancers","yes","no"
4789,"High SDI","Smoking","Acute myeloid leukaemia",0.133,"Latvia",0.10399825,0.013831767,0,0,"All other cancers","yes","no"
4790,"High SDI","Smoking","All causes",0.149,"Latvia",0.10399825,0.015495739,0,0,NA,"no","no"
4791,"High SDI","Smoking","Asthma",0.101,"Latvia",0.10399825,0.010503823,0,0,"Chronic respiratory diseases","yes","no"
4792,"High SDI","Smoking","Bladder cancer",0.356,"Latvia",0.10399825,0.037023377,0,0,"All other cancers","yes","no"
4793,"High SDI","Smoking","Cervical cancer",0.126,"Latvia",0.10399825,0.01310378,0,0,"Cervix uteri cancer","yes","no"
4794,"High SDI","Smoking","Chronic lymphoid leukaemia",0.157,"Latvia",0.10399825,0.016327725,0,0,"All other cancers","yes","no"
4795,"High SDI","Smoking","Chronic myeloid leukaemia",0.139,"Latvia",0.10399825,0.014455757,0,0,"All other cancers","yes","no"
4796,"High SDI","Smoking","Chronic obstructive pulmonary disease",0.748,"Latvia",0.10399825,0.077790691,0,0,"Chronic respiratory diseases","yes","no"
